,,
The Treasure of the Sierra Madre,(1948),8.2
There Will Be Blood,(2007),8.2
Pan's Labyrinth,(2006),8.2
A Beautiful Mind,(2001),8.1
El secreto de sus ojos,(2009),8.1
Raging Bull,(1980),8.1
Hàng Xóm Của Tôi Là Totoro,(1988),8.1
Chinatown,(1974),8.1
"Lock, Stock and Two Smoking Barrels",(1998),8.1
The Gold Rush,(1925),8.1
Đảo Kinh Hoàng,(2010),8.1
Không Chốn Dung Thân,(2007),8.1
Dial M for Murder,(1954),8.1
Three Billboards: Truy Tìm Công Lý,(2017),8.1
Det sjunde inseglet,(1957),8.1
The Elephant Man,(1980),8.1
Quái Vật Biến Hình,(1982),8.1
Giác Quan Thứ Sáu,(1999),8.1
Klaus - Câu Chuyện Giáng Sinh,(2019),8.1
The Third Man,(1949),8.1
Chiến Binh Tự Do,(2005),8.1
Những Mảnh Ghép Cảm Xúc,(2015),8.1
Smultronstället,(1957),8.1
Tội Phạm Nhân Bản,(1982),8.1
Salinui chueok,(2003),8.1
The Truman Show,(1998),8.1
Công Viên Kỷ Jura,(1993),8.1
Trainspotting,(1996),8.1
The Bridge on the River Kwai,(1957),8.1
Warrior,(2011),8.1
Fargo,(1996),8.1
Đi Tìm Nemo,(2003),8.1
Babam ve Oglum,(2005),8.1
Cuốn Theo Chiều Gió,(1939),8.1
Kill Bill: Vol. 1,(2003),8.1
Cau Chuyen Tokyo,(1953),8.1
On the Waterfront,(1954),8.1
Stalker,(1979),8.1
The General,(1926),8.1
Relatos salvajes,(2014),8.1
Sherlock Jr.,(1924),8.1
The Deer Hunter,(1978),8.1
Gran Torino,(2008),8.1
The Grand Budapest Hotel,(2014),8.1
Persona,(1966),8.1
Before Sunrise,(1995),8.1
Mary Và Max,(2009),8.1
Room,(2015),8.1
Lần Theo Dấu Vết,(2013),8.1
Mr. Smith Goes to Washington,(1939),8.1
In the Name of the Father,(1993),8.1
Hãy Bắt Tôi Nếu Có Thể,(2002),8.1
Cô Gái Mất Tích,(2014),8.1
Người Hùng Không Súng,(2016),8.1
To Be or Not to Be,(1942),8.1
Barry Lyndon,(1975),8.1
Andhadhun,(2018),8.1
La passion de Jeanne d'Arc,(1928),8.1
Cuộc Đua Lịch Sử,(2019),8.1
The Big Lebowski,(1998),8.1
12 Năm Nô Lệ,(2013),8.1
Bí Kíp Luyện Rồng,(2010),8.1
Max Điên: Con Đường Tử Thần,(2015),8.1
Dead Poets Society,(1989),8.1
Ben-Hur,(1959),8.1
Million Dollar Baby,(2004),8.1
Le salaire de la peur,(1953),8.1
Höstsonaten,(1978),8.1
Harry Potter và Bảo Bối Tử Thần: Phần 2,(2011),8.1
Network,(1976),8.1
Stand by Me,(1986),8.1
Ah-ga-ssi,(2016),8.1
Cool Hand Luke,(1967),8.1
Les quatre cents coups,(1959),8.1
Logan: Người Sói,(2017),8.1
Hachi: A Dog's Tale,(2009),8.0
La haine,(1995),8.0
Eskiya,(1996),8.0
Platoon,(1986),8.0
Spotlight,(2015),8.0
Life of Brian,(1979),8.0
Gangs of Wasseypur,(2012),8.0
Hotel Rwanda,(2004),8.0
Công Ty Quái Vật,(2001),8.0
Rebecca,(1940),8.0
Đường Đua Nghẹt Thở,(2013),8.0
Dáng Hình Thanh Âm,(2016),8.0
Into the Wild,(2007),8.0
Andrei Rublev,(1966),8.0
Amores perros,(2000),8.0
Tâm trạng khi yêu,(2000),8.0
Rocky,(1976),8.0
It Happened One Night,(1934),8.0
Kaze no tani no Naushika,(1984),8.0
La battaglia di Algeri,(1966),8.0
Before Sunset,(2004),8.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),8.0
Fanny och Alexander,(1982),8.0
Trois couleurs: Rouge,(1994),8.0
Ratsasan,(2018),8.0
The Princess Bride,(1987),8.0
Du rififi chez les hommes,(1955),8.0
"Paris, Texas",(1984),8.0
Sunrise: A Song of Two Humans,(1927),8.0
Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,(2020),8.0
Le notti di Cabiria,(1957),8.0
Miracle in Cell No. 7,(2019),8.0
